Date,Total Value,Cash,Holdings Value
2023-07-19,147527964.34,7233074.340000004,140294890.0
2023-07-20,146437752.34,7233074.340000004,139204678.0
2023-07-21,148866154.34,7233074.340000004,141633080.0
2023-07-24,153285129.34,7233074.340000004,146052055.0
2023-07-25,153978811.34,7233074.340000004,146745737.0
2023-07-26,151547636.34,7233074.340000004,144314562.0
2023-07-27,150729476.34,7233074.340000004,143496402.0
2023-07-28,151976378.34,7233074.340000004,144743304.0
2023-07-31,152869561.34,7233074.340000004,145636487.0
2023-08-01,153861413.34,7233074.340000004,146628339.0
2023-08-02,148943377.34,7233074.340000004,141710303.0
2023-08-03,148910785.34,7233074.340000004,141677711.0
2023-08-04,148531880.34,7233074.340000004,141298806.0
2023-08-07,145941908.34,7233074.340000004,138708834.0
2023-08-08,146373770.34,7233074.340000004,139140696.0
2023-08-09,148477375.34,7233074.340000004,141244301.0
2023-08-10,148098727.34,7233074.340000004,140865653.0
2023-08-11,146732909.34,7233074.340000004,139499835.0
2023-08-14,146073349.34,8087074.340000004,137986275.0
2023-08-16,143717924.34,8087074.340000004,135630850.0
2023-08-17,143830636.34,8087074.340000004,135743562.0
2023-08-18,143001158.34,8087074.340000004,134914084.0
2023-08-21,142960278.34,8087074.340000004,134873204.0
2023-08-22,144443555.34,8087074.340000004,136356481.0
2023-08-23,142866690.34,8087074.340000004,134779616.0
2023-08-24,145983098.34,8087074.340000004,137896024.0
2023-08-25,144041420.34,8087074.340000004,135954346.0
2023-08-28,144853606.34,8087074.340000004,136766532.0
2023-08-29,145449438.34,8087074.340000004,137362364.0
2023-08-30,146111863.34,8087074.340000004,138024789.0
2023-08-31,146064643.34,8087074.340000004,137977569.0
2023-09-01,144520623.34,8087074.340000004,136433549.0
2023-09-04,146274891.34,8087074.340000004,138187817.0
2023-09-05,146652297.34,8087074.340000004,138565223.0
2023-09-06,145081618.34,8087074.340000004,136994544.0
2023-09-07,144215808.34,8087074.340000004,136128734.0
2023-09-08,143295602.34,8087074.340000004,135208528.0
2023-09-11,143693148.34,8938674.340000004,134754474.0
2023-09-12,142675213.34,8938674.340000004,133736539.0
2023-09-13,142425213.34,8938674.340000004,133486539.0
2023-09-14,145575424.34,8938674.340000004,136636750.0
2023-09-15,147825821.34,8938674.340000004,138887147.0
2023-09-18,146646427.34,8938674.340000004,137707753.0
2023-09-19,145181683.34,8938674.340000004,136243009.0
2023-09-20,145633035.34,8938674.340000004,136694361.0
2023-09-21,142326377.34,8938674.340000004,133387703.0
2023-09-22,141802454.34,8938674.340000004,132863780.0
2023-09-25,140231628.34,8938674.340000004,131292954.0
2023-09-26,138613793.34,8938674.340000004,129675119.0
2023-09-27,138460003.34,8938674.340000004,129521329.0
2023-10-04,135857928.34,8938674.340000004,126919254.0
2023-10-05,137608906.34,8938674.340000004,128670232.0
2023-10-06,137968645.34,8938674.340000004,129029971.0
2023-10-10,137582442.34,9788174.340000004,127794268.0
2023-10-11,140245615.34,9788174.340000004,130457441.0
2023-10-12,142160893.34,9788174.340000004,132372719.0
2023-10-13,141086566.34,9788174.340000004,131298392.0
2023-10-16,139670532.34,9788174.340000004,129882358.0
2023-10-17,140823864.34,9788174.340000004,131035690.0
2023-10-18,140463162.34,9788174.340000004,130674988.0
